question_order,row_id,annotator,status,raw,legal_llmlingua2-r1p1,oracle_bgb_paragraph_ids,no_context,original_labels,original_positions,original_rank_groups,notes,reference_issue,material_difference,cannot_assess
8,domainllm:validation:000175:5fd888e68397,annotator_2,ranked,1.0,3.5,3.5,2.0,"{""A"": ""raw"", ""B"": ""no_context"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 1, ""B"": 2, ""C"": 3, ""D"": 3}","[[""A""], [""B""], [""C"", ""D""]]",,False,,False
9,domainllm:validation:000368:e32b92c87f7b,annotator_1,ranked,3.0,1.0,4.0,2.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""no_context"", ""C"": ""raw"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 4, ""B"": 2, ""C"": 3, ""D"": 1}","[[""D""], [""B""], [""C""], [""A""]]",,False,,False
9,domainllm:validation:000368:e32b92c87f7b,annotator_2,ranked,2.5,1.0,4.0,2.5,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""raw"", ""C"": ""no_context"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 1, ""B"": 2, ""C"": 2, ""D"": 3}","[[""A""], [""B"", ""C""], [""D""]]",,False,,False
10,domainllm:validation:000496:5ec1a9b513f0,annotator_1,ranked,1.0,2.0,4.0,3.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""no_context"", ""C"": ""raw"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 4, ""B"": 3, ""C"": 1, ""D"": 2}","[[""C""], [""D""], [""B""], [""A""]]",,False,,False
10,domainllm:validation:000496:5ec1a9b513f0,annotator_2,ranked,3.5,3.5,2.0,1.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""raw"", ""C"": ""no_context"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 2, ""B"": 3, ""C"": 1, ""D"": 3}","[[""C""], [""A""], [""B"", ""D""]]",,False,,False
11,domainllm:validation:000294:67d60419fa37,annotator_1,ranked,2.0,3.0,1.0,4.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""raw"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""no_context""}","{""A"": 1, ""B"": 2, ""C"": 3, ""D"": 4}","[[""A""], [""B""], [""C""], [""D""]]",,False,,False
11,domainllm:validation:000294:67d60419fa37,annotator_2,ungradable,,,,,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": null, ""B"": null, ""C"": null, ""D"": null}",null,Referenzantwort beantwortet Frage nicht,True,,True
12,domainllm:validation:000029:7290cdc3cc86,annotator_1,ranked,2.5,4.0,2.5,1.0,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 1, ""B"": 2, ""C"": 3, ""D"": 2}","[[""A""], [""B"", ""D""], [""C""]]","Alle Antworten ziemlich wirr. Antwort C ist am schlechtesten, kommt aber als einzige zum richtigen Ergebnis.",False,,False
12,domainllm:validation:000029:7290cdc3cc86,annotator_2,ranked,3.0,4.0,1.5,1.5,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 1, ""B"": 2, ""C"": 1, ""D"": 3}","[[""A"", ""C""], [""B""], [""D""]]",,False,,False
13,domainllm:validation:000467:2889bac062d7,annotator_1,ranked,2.0,2.0,2.0,4.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""no_context"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""raw""}","{""A"": 1, ""B"": 2, ""C"": 1, ""D"": 1}","[[""A"", ""C"", ""D""], [""B""]]",,False,,False
13,domainllm:validation:000467:2889bac062d7,annotator_2,ranked,2.5,2.5,2.5,2.5,"{""A"": ""no_context"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""raw""}","{""A"": 1, ""B"": 1, ""C"": 1, ""D"": 1}","[[""A"", ""B"", ""C"", ""D""]]",,False,,False
14,domainllm:validation:000491:098713039f43,annotator_1,ranked,1.5,1.5,3.0,4.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""no_context"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""raw""}","{""A"": 1, ""B"": 3, ""C"": 2, ""D"": 1}","[[""A"", ""D""], [""C""], [""B""]]",,False,,False
14,domainllm:validation:000491:098713039f43,annotator_2,ranked,2.5,2.5,2.5,2.5,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""no_context"", ""D"": ""raw""}","{""A"": 1, ""B"": 1, ""C"": 1, ""D"": 1}","[[""A"", ""B"", ""C"", ""D""]]",,False,,False
15,domainllm:validation:000201:bc4dec9f37d0,annotator_1,ranked,1.0,3.0,3.0,3.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""no_context"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""raw""}","{""A"": 2, ""B"": 2, ""C"": 2, ""D"": 1}","[[""D""], [""A"", ""B"", ""C""]]",,False,,False
15,domainllm:validation:000201:bc4dec9f37d0,annotator_2,ranked,4.0,2.0,2.0,2.0,"{""A"": ""no_context"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""raw""}","{""A"": 1, ""B"": 1, ""C"": 1, ""D"": 2}","[[""A"", ""B"", ""C""], [""D""]]",,False,,False
16,domainllm:validation:000261:d36561463a55,annotator_1,ranked,4.0,3.0,1.0,2.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""raw"", ""C"": ""no_context"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 1, ""B"": 4, ""C"": 2, ""D"": 3}","[[""A""], [""C""], [""D""], [""B""]]",,False,,False
16,domainllm:validation:000261:d36561463a55,annotator_2,ranked,4.0,2.0,2.0,2.0,"{""A"": ""no_context"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""raw""}","{""A"": 1, ""B"": 1, ""C"": 1, ""D"": 2}","[[""A"", ""B"", ""C""], [""D""]]",,False,,False
17,domainllm:validation:000179:4bf69b605fd6,annotator_1,ranked,3.0,2.0,1.0,4.0,"{""A"": ""raw"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""no_context"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 3, ""B"": 1, ""C"": 4, ""D"": 2}","[[""B""], [""D""], [""A""], [""C""]]",,False,,False
17,domainllm:validation:000179:4bf69b605fd6,annotator_2,ranked,2.5,2.5,1.0,4.0,"{""A"": ""raw"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""no_context""}","{""A"": 2, ""B"": 1, ""C"": 2, ""D"": 3}","[[""B""], [""A"", ""C""], [""D""]]",,False,,False
18,domainllm:validation:000065:a7d251822fda,annotator_1,ranked,4.0,3.0,1.0,2.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""raw"", ""C"": ""no_context"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 1, ""B"": 4, ""C"": 2, ""D"": 3}","[[""A""], [""C""], [""D""], [""B""]]",,False,,False
18,domainllm:validation:000065:a7d251822fda,annotator_2,ranked,1.5,1.5,3.0,4.0,"{""A"": ""raw"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""no_context""}","{""A"": 1, ""B"": 1, ""C"": 2, ""D"": 3}","[[""A"", ""B""], [""C""], [""D""]]",,False,,False
19,domainllm:validation:000431:bda8f3047e5d,annotator_1,ranked,1.5,1.5,3.5,3.5,"{""A"": ""raw"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""no_context""}","{""A"": 1, ""B"": 1, ""C"": 2, ""D"": 2}","[[""A"", ""B""], [""C"", ""D""]]","Alle Begründungen sind sehr fehlerhaft, zudem verwechseln die Antworten regelmäßig Käufer und Verkäufer und die Handlungen der Beteiligten",False,,False
19,domainllm:validation:000431:bda8f3047e5d,annotator_2,ranked,2.5,2.5,1.0,4.0,"{""A"": ""raw"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""no_context"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 2, ""B"": 2, ""C"": 3, ""D"": 1}","[[""D""], [""A"", ""B""], [""C""]]",,False,,False
20,domainllm:validation:000185:17d4aca7f8ec,annotator_1,ranked,2.5,2.5,2.5,2.5,"{""A"": ""no_context"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""raw""}","{""A"": 1, ""B"": 1, ""C"": 1, ""D"": 1}","[[""A"", ""B"", ""C"", ""D""]]",Alle Antworten korrekt,False,,False
20,domainllm:validation:000185:17d4aca7f8ec,annotator_2,ranked,2.5,2.5,2.5,2.5,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""raw"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""no_context""}","{""A"": 1, ""B"": 1, ""C"": 1, ""D"": 1}","[[""A"", ""B"", ""C"", ""D""]]",,False,,False
21,domainllm:validation:000096:20a327e10217,annotator_1,ranked,2.5,2.5,2.5,2.5,"{""A"": ""raw"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""no_context"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 1, ""B"": 1, ""C"": 1, ""D"": 1}","[[""A"", ""B"", ""C"", ""D""]]",Alle Antworten korrekt,False,,False
21,domainllm:validation:000096:20a327e10217,annotator_2,ranked,2.0,2.0,2.0,4.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""no_context"", ""C"": ""raw"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 1, ""B"": 2, ""C"": 1, ""D"": 1}","[[""A"", ""C"", ""D""], [""B""]]",,False,,False
22,domainllm:validation:000455:1edae85574be,annotator_1,ranked,3.0,1.0,2.0,4.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""no_context"", ""C"": ""raw"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 2, ""B"": 4, ""C"": 3, ""D"": 1}","[[""D""], [""A""], [""C""], [""B""]]",,False,,False
22,domainllm:validation:000455:1edae85574be,annotator_2,ranked,2.0,2.0,2.0,4.0,"{""A"": ""raw"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""no_context"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 1, ""B"": 1, ""C"": 2, ""D"": 1}","[[""A"", ""B"", ""D""], [""C""]]",,False,,False
23,domainllm:validation:000421:5ee1baa4bf53,annotator_1,ranked,4.0,3.0,2.0,1.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""no_context"", ""D"": ""raw""}","{""A"": 3, ""B"": 2, ""C"": 1, ""D"": 4}","[[""C""], [""B""], [""A""], [""D""]]",,False,,False
23,domainllm:validation:000421:5ee1baa4bf53,annotator_2,ranked,3.0,4.0,1.0,2.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""no_context"", ""C"": ""raw"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 1, ""B"": 2, ""C"": 3, ""D"": 4}","[[""A""], [""B""], [""C""], [""D""]]",,False,,False
24,domainllm:validation:000086:401afdfc350a,annotator_1,ranked,2.0,3.0,4.0,1.0,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 1, ""B"": 2, ""C"": 4, ""D"": 3}","[[""A""], [""B""], [""D""], [""C""]]",,False,,False
24,domainllm:validation:000086:401afdfc350a,annotator_2,ranked,2.0,2.0,4.0,2.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""raw"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""no_context""}","{""A"": 2, ""B"": 1, ""C"": 1, ""D"": 1}","[[""B"", ""C"", ""D""], [""A""]]",,False,,False
25,domainllm:validation:000146:064aa6a50a18,annotator_1,ranked,1.0,2.0,4.0,3.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""no_context"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""raw""}","{""A"": 2, ""B"": 3, ""C"": 4, ""D"": 1}","[[""D""], [""A""], [""B""], [""C""]]",,False,,False
25,domainllm:validation:000146:064aa6a50a18,annotator_2,ranked,1.5,3.0,1.5,4.0,"{""A"": ""raw"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""no_context"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 1, ""B"": 2, ""C"": 3, ""D"": 1}","[[""A"", ""D""], [""B""], [""C""]]",,False,,False
26,domainllm:validation:000429:af5cc6630f17,annotator_1,ranked,1.5,1.5,3.5,3.5,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 2, ""B"": 1, ""C"": 2, ""D"": 1}","[[""B"", ""D""], [""A"", ""C""]]",Alle Antworten sehr schlecht.,False,,False
26,domainllm:validation:000429:af5cc6630f17,annotator_2,ranked,1.5,1.5,4.0,3.0,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 2, ""B"": 1, ""C"": 3, ""D"": 1}","[[""B"", ""D""], [""A""], [""C""]]",,False,,False
27,domainllm:validation:000490:8482cf28da36,annotator_1,ranked,2.0,3.0,1.0,4.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""raw"", ""C"": ""no_context"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 3, ""B"": 2, ""C"": 4, ""D"": 1}","[[""D""], [""B""], [""A""], [""C""]]",Sämtliche Antworten verstehen § 94 BGB falsch bzw. ziehen die falschen Schlüsse daraus,False,,False
27,domainllm:validation:000490:8482cf28da36,annotator_2,ranked,2.5,1.0,2.5,4.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""raw"", ""C"": ""no_context"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 2, ""B"": 2, ""C"": 3, ""D"": 1}","[[""D""], [""A"", ""B""], [""C""]]",,False,,False
28,domainllm:validation:000233:4765b0547e21,annotator_1,ranked,4.0,2.0,3.0,1.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""no_context"", ""C"": ""raw"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 2, ""B"": 1, ""C"": 4, ""D"": 3}","[[""B""], [""A""], [""D""], [""C""]]",,False,,False
28,domainllm:validation:000233:4765b0547e21,annotator_2,ranked,3.0,2.0,4.0,1.0,"{""A"": ""no_context"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""raw"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 1, ""B"": 2, ""C"": 3, ""D"": 4}","[[""A""], [""B""], [""C""], [""D""]]",,False,,False
29,domainllm:validation:000394:d3e187949913,annotator_1,ranked,3.0,1.0,3.0,3.0,"{""A"": ""raw"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""no_context""}","{""A"": 2, ""B"": 1, ""C"": 2, ""D"": 2}","[[""B""], [""A"", ""C"", ""D""]]",Alle Antworten extrem schlecht,False,,False
29,domainllm:validation:000394:d3e187949913,annotator_2,ranked,3.0,1.0,3.0,3.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""raw"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""no_context""}","{""A"": 2, ""B"": 2, ""C"": 1, ""D"": 2}","[[""C""], [""A"", ""B"", ""D""]]",,False,,False
30,domainllm:validation:000393:1d685913bcf9,annotator_1,ranked,3.0,1.0,3.0,3.0,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 2, ""B"": 2, ""C"": 2, ""D"": 1}","[[""D""], [""A"", ""B"", ""C""]]",Alle Antworten sind extrem schlecht.,False,,False
30,domainllm:validation:000393:1d685913bcf9,annotator_2,ranked,2.0,1.0,4.0,3.0,"{""A"": ""no_context"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""raw""}","{""A"": 3, ""B"": 1, ""C"": 4, ""D"": 2}","[[""B""], [""D""], [""A""], [""C""]]",,False,,False
31,domainllm:validation:000339:e9ca9211b0f1,annotator_1,ranked,2.0,4.0,1.0,3.0,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 3, ""B"": 2, ""C"": 1, ""D"": 4}","[[""C""], [""B""], [""A""], [""D""]]",,False,,False
31,domainllm:validation:000339:e9ca9211b0f1,annotator_2,ranked,1.0,4.0,2.0,3.0,"{""A"": ""raw"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""no_context"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 1, ""B"": 2, ""C"": 3, ""D"": 4}","[[""A""], [""B""], [""C""], [""D""]]",,False,,False
32,domainllm:validation:000247:f98ff093ea5e,annotator_1,ranked,2.0,1.0,4.0,3.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""raw"", ""C"": ""no_context"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 1, ""B"": 2, ""C"": 3, ""D"": 4}","[[""A""], [""B""], [""C""], [""D""]]",,False,,False
32,domainllm:validation:000247:f98ff093ea5e,annotator_2,ranked,1.5,1.5,3.5,3.5,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""no_context"", ""C"": ""raw"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 1, ""B"": 2, ""C"": 1, ""D"": 2}","[[""A"", ""C""], [""B"", ""D""]]",,False,,False
33,domainllm:validation:000359:e82c6df22a1f,annotator_1,ranked,3.5,3.5,2.0,1.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""no_context"", ""C"": ""raw"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 2, ""B"": 1, ""C"": 3, ""D"": 3}","[[""B""], [""A""], [""C"", ""D""]]",,False,,False
33,domainllm:validation:000359:e82c6df22a1f,annotator_2,ranked,2.5,4.0,2.5,1.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""raw"", ""D"": ""no_context""}","{""A"": 2, ""B"": 3, ""C"": 2, ""D"": 1}","[[""D""], [""A"", ""C""], [""B""]]",,False,,False
34,domainllm:validation:000190:972c89d7722f,annotator_1,ranked,3.0,2.0,1.0,4.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""raw"", ""D"": ""no_context""}","{""A"": 1, ""B"": 2, ""C"": 3, ""D"": 4}","[[""A""], [""B""], [""C""], [""D""]]",,False,,False
34,domainllm:validation:000190:972c89d7722f,annotator_2,ranked,3.0,3.0,1.0,3.0,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 2, ""B"": 2, ""C"": 2, ""D"": 1}","[[""D""], [""A"", ""B"", ""C""]]",,False,,False
35,domainllm:validation:000349:8ccd4c87c7c0,annotator_1,ranked,2.5,1.0,2.5,4.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""no_context"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""raw""}","{""A"": 2, ""B"": 3, ""C"": 1, ""D"": 2}","[[""C""], [""A"", ""D""], [""B""]]",,False,,False
35,domainllm:validation:000349:8ccd4c87c7c0,annotator_2,ranked,3.0,1.0,3.0,3.0,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 2, ""B"": 2, ""C"": 2, ""D"": 1}","[[""D""], [""A"", ""B"", ""C""]]",,False,,False
36,domainllm:validation:000109:b2d917c37511,annotator_1,ranked,3.5,3.5,1.0,2.0,"{""A"": ""no_context"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""raw""}","{""A"": 2, ""B"": 1, ""C"": 3, ""D"": 3}","[[""B""], [""A""], [""C"", ""D""]]",,False,,False
36,domainllm:validation:000109:b2d917c37511,annotator_2,ranked,2.0,2.0,4.0,2.0,"{""A"": ""no_context"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""raw"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 1, ""B"": 2, ""C"": 1, ""D"": 1}","[[""A"", ""C"", ""D""], [""B""]]",,False,,False
37,domainllm:validation:000488:205461f2c99d,annotator_1,ranked,4.0,2.0,3.0,1.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""no_context"", ""C"": ""raw"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 3, ""B"": 1, ""C"": 4, ""D"": 2}","[[""B""], [""D""], [""A""], [""C""]]",,False,,False
